267112, 1.55e-05, 1.99e-11, 2.95e-08, 7.05e-12, 1.51e+01
830071, 1.55e-05, 8.85e-11, 2.95e-08, 6.94e-11, 1.51e+01
82235, 1.55e-05, 6.31e-11, 2.95e-08, 2.88e-11, 1.51e+01
679237, 1.55e-05, 7.40e-11, 2.95e-08, 3.66e-11, 1.51e+01
957475, 1.55e-05, 2.93e-11, 2.96e-08, 1.70e-11, 1.51e+01
436509, 1.55e-05, 7.13e-12, 3.02e-08, 2.84e-12, 1.51e+01
247473, 1.55e-05, 2.52e-11, 3.02e-08, 9.48e-12, 1.51e+01
23541, 1.55e-05, 2.78e-11, 2.95e-08, 2.04e-11, 1.51e+01
9342, 1.55e-05, 7.25e-11, 2.95e-08, 4.14e-11, 1.51e+01
944446, 1.55e-05, 1.79e-11, 2.95e-08, 6.08e-12, 1.51e+01
24255, 1.55e-05, 7.68e-12, 3.11e-08, 3.00e-12, 1.51e+01
487927, 1.55e-05, 2.06e-11, 2.95e-08, 1.10e-11, 1.51e+01
487525, 1.55e-05, 1.78e-10, 2.95e-08, 1.00e-10, 1.51e+01
175852, 1.55e-05, 6.21e-11, 2.95e-08, 3.46e-11, 1.51e+01
907631, 1.55e-05, 2.33e-10, 2.95e-08, 7.36e-11, 1.51e+01
689705, 1.55e-05, 3.66e-11, 2.95e-08, 2.70e-11, 1.51e+01
149355, 1.55e-05, 1.51e-11, 2.95e-08, 6.13e-12, 1.51e+01
284967, 1.55e-05, 2.86e-11, 2.95e-08, 1.12e-11, 1.51e+01
877719, 1.55e-05, 5.43e-11, 2.95e-08, 2.95e-11, 1.51e+01
993461, 1.55e-05, 3.02e-11, 2.95e-08, 1.04e-11, 1.51e+01
921966, 1.55e-05, 2.24e-11, 2.96e-08, 7.42e-12, 1.51e+01
385570, 1.55e-05, 1.06e-10, 2.95e-08, 2.72e-11, 1.51e+01
930240, 1.55e-05, 2.77e-11, 2.95e-08, 1.36e-11, 1.51e+01
242043, 1.55e-05, 8.55e-11, 2.95e-08, 3.66e-11, 1.51e+01
611374, 1.55e-05, 1.73e-11, 2.95e-08, 9.49e-12, 1.52e+01
204893, 1.55e-05, 2.34e-11, 2.95e-08, 9.48e-12, 1.52e+01
137931, 1.55e-05, 1.43e-11, 2.95e-08, 8.06e-12, 1.52e+01
318593, 1.55e-05, 8.60e-11, 2.95e-08, 3.16e-11, 1.52e+01
163532, 1.55e-05, 6.53e-11, 2.95e-08, 5.08e-11, 1.52e+01
290539, 1.55e-05, 5.92e-11, 2.95e-08, 3.91e-11, 1.52e+01
634648, 1.55e-05, 4.34e-11, 2.95e-08, 2.04e-11, 1.52e+01
228027, 1.55e-05, 4.71e-11, 2.95e-08, 3.19e-11, 1.52e+01
180821, 1.55e-05, 3.99e-10, 2.95e-08, 1.31e-10, 1.52e+01
49737, 1.55e-05, 1.92e-11, 2.95e-08, 9.93e-12, 1.52e+01
609067, 1.55e-05, 8.83e-12, 2.95e-08, 2.54e-12, 1.52e+01
872005, 1.55e-05, 7.43e-11, 2.95e-08, 4.91e-11, 1.52e+01
403527, 1.55e-05, 2.22e-11, 2.95e-08, 9.60e-12, 1.52e+01
283105, 1.55e-05, 1.28e-11, 3.00e-08, 4.68e-12, 1.52e+01
397514, 1.55e-05, 6.90e-12, 2.95e-08, 2.42e-12, 1.52e+01
14171, 1.55e-05, 4.73e-11, 2.95e-08, 2.13e-11, 1.56e+01
795220, 1.55e-05, 1.12e-11, 2.95e-08, 3.62e-12, 1.57e+01
911706, 1.55e-05, 9.55e-11, 2.95e-08, 3.33e-11, 1.57e+01
915807, 1.55e-05, 4.37e-11, 2.95e-08, 1.72e-11, 1.58e+01
455522, 1.55e-05, 5.06e-11, 2.95e-08, 1.75e-11, 1.58e+01
